Date,Open,High,Low,Close,Adj Close,Volume
1995-10-01,10.031250,11.250000,9.718750,9.750000,6.253114,16441600
1995-11-01,9.750000,11.250000,9.656250,11.250000,7.215129,12587200
1995-12-01,11.187500,11.562500,10.843750,11.250000,7.215129,14584000
1996-01-01,11.125000,11.468750,10.437500,11.343750,7.394226,19197600
1996-02-01,11.375000,11.937500,11.156250,11.312500,7.373858,14347200
1996-03-01,11.187500,12.750000,10.875000,12.500000,8.147910,15511600
1996-04-01,12.437500,12.906250,11.281250,12.468750,8.246591,18926800
1996-05-01,12.406250,13.187500,11.562500,13.031250,8.618613,9633600
1996-06-01,13.031250,13.437500,12.750000,12.750000,8.432595,13038000
1996-07-01,12.812500,13.062500,11.718750,12.562500,8.430634,13848800
1996-08-01,12.500000,14.281250,12.468750,13.531250,9.080764,12626400
1996-09-01,13.500000,14.468750,13.343750,14.343750,9.626027,8608800
1996-10-01,14.375000,15.875000,14.187500,15.843750,10.812713,12301600
1996-11-01,15.843750,17.125000,15.625000,16.906250,11.537824,11179200
1996-12-01,16.906250,17.062500,15.406250,16.156250,11.025982,12114400
1997-01-01,16.093750,18.625000,15.656250,18.281250,12.631371,24644000
1997-02-01,18.343750,21.031250,18.093750,20.093750,13.883718,21286400
1997-03-01,20.031250,20.843750,17.218750,17.343750,11.983606,17984000
1997-04-01,17.437500,19.968750,16.625000,19.687500,13.752709,15664000
1997-05-01,19.781250,22.531250,19.781250,22.312500,15.586406,15840400
1997-06-01,22.312500,27.125000,22.125000,23.125000,16.153967,21703000
1997-07-01,23.312500,28.343750,23.312500,28.031250,19.669775,14872000
1997-08-01,27.750000,28.375000,24.500000,24.937500,17.498867,39880000
1997-09-01,25.750000,30.781250,24.250000,30.468750,21.380186,17841800
1997-10-01,30.468750,31.687500,25.687500,27.875000,19.632261,15791400
1997-11-01,28.187500,30.718750,27.812500,29.750000,20.952810,9653800
1997-12-01,29.687500,31.843750,26.812500,29.093750,20.490631,19249000
1998-01-01,29.218750,29.375000,24.812500,28.000000,19.804148,16729400
